seed,omega,adaptive,step,source_residual_sse_0,source_residual_sse_1,source_residual_sse_2,source_residual_sse_3,source_residual_sse_4,source_residual_sse_5,source_residual_sse_6,source_residual_sse_7,source_residual_sse_8,source_residual_sse_9,source_residual_sse_10,source_residual_sse_11,source_residual_sse_12,source_residual_sse_13,source_residual_sse_14,source_residual_sse_15,source_residual_sse_16,path_visits_0,path_visits_1,path_visits_2,path_visits_3,path_visits_4,path_visits_5,path_visits_6,path_visits_7,path_visits_8,path_visits_9,path_visits_10,path_visits_11,path_visits_12,path_visits_13,path_visits_14,path_visits_15,path_visits_16
7,0.0,0,40,2.5333295980090043e-5,0e0,8.039799467951525e-5,3.625280874075543e-5,1.4987900613050442e-4,0e0,1.3915046292822808e-4,1.0181044899582048e-4,0e0,4.0360854995924456e-6,0e0,6.33281179034384e-5,3.700385605043266e-5,0e0,4.605200774676632e-5,1.0510236074878776e-4,0e0,34,0,0,34,58,34,68,68,10,68,0,68,0,0,34,68,0
7,0.0,0,80,1.514744016617442e-5,0e0,2.93147963930096e-5,1.63719329293599e-5,3.85040139008197e-5,0e0,2.0685995423264103e-5,2.396497529844055e-5,0e0,4.6152613464300885e-7,0e0,1.4450265666710038e-5,2.6138985504076118e-5,0e0,1.2908410326417652e-5,4.6779286094533745e-5,0e0,34,0,0,34,61,34,68,68,7,68,0,69,0,0,34,67,0
7,0.0,0,120,3.461130319237782e-6,0e0,7.532443419222545e-6,3.839588657683635e-6,8.491456412684784e-6,0e0,4.516568139933952e-6,5.085946867211533e-6,0e0,2.3312641062034345e-7,0e0,3.370819499082245e-6,4.159909963163955e-6,0e0,3.5808843676932156e-6,1.005651104435401e-5,0e0,34,0,0,34,68,34,68,68,0,68,0,70,0,0,34,66,0
7,0.0,0,160,4.883526978360919e-7,0e0,1.1015801320013452e-6,5.418478892238454e-7,1.2970466336525988e-6,0e0,6.624423463108542e-7,7.686580474342009e-7,0e0,3.341854437621805e-8,0e0,5.15988013205515e-7,6.336171622933762e-7,0e0,5.328540311211327e-7,1.4654430096072701e-6,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,200,4.745314852172555e-8,0e0,1.055336129596185e-7,5.249878221036397e-8,1.232573492160327e-7,0e0,6.331853796837095e-8,7.316126815481994e-8,0e0,3.0661517769203783e-9,0e0,4.827153077258117e-8,6.200899349551037e-8,0e0,4.984264734275712e-8,1.4242305468314953e-7,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,240,2.811668675661849e-9,0e0,6.1982934340676366e-9,3.0897924219175366e-9,7.259038259377348e-9,0e0,3.6756429011575165e-9,4.306879297644173e-9,0e0,1.6548629133694703e-10,0e0,2.832052814483177e-9,3.645774349081421e-9,0e0,2.9441622473314055e-9,8.412051499817608e-9,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,280,9.231171382850789e-11,0e0,2.0027091096608274e-10,1.0012479734200497e-10,2.334432647188578e-10,0e0,1.1606893224325177e-10,1.3781420449276993e-10,0e0,4.156675004196586e-12,0e0,9.548983825879986e-11,1.1187939463752627e-10,0e0,9.687894930721086e-11,2.7002755587091087e-10,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,320,1.5936141295469497e-12,0e0,2.431832513138943e-12,1.092459456231154e-12,3.3011371414204405e-12,0e0,8.562039965909207e-13,1.3944401189291966e-12,0e0,6.394884621840902e-14,0e0,1.6058265828178264e-12,7.682743330406083e-13,0e0,1.9682033780554775e-12,4.948930154569098e-12,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,360,2.3514523661560816e-13,0e0,5.329070518200751e-15,1.5987211554602254e-14,4.9960036108132044e-14,0e0,3.907985046680551e-14,7.460698725481052e-14,0e0,1.2079226507921703e-13,0e0,4.654054919228656e-13,6.483702463810914e-14,0e0,6.394884621840902e-14,3.055333763768431e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,400,2.55351295663786e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.262457136723242e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.4033219031261979e-13,0e0,3.375077994860476e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.1671553440683056e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,440,2.4558133304708463e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.10702591327572e-14,0e0,7.549516567451064e-14,6.483702463810914e-14,0e0,1.5276668818842154e-13,0e0,3.801403636316536e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.2026824808563106e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,480,2.48245868306185e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,4.9960036108132044e-14,0e0,7.549516567451064e-14,6.483702463810914e-14,0e0,1.4033219031261979e-13,0e0,3.836930773104541e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.2026824808563106e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,520,2.375877272697835e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.3734794391857577e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.4033219031261979e-13,0e0,3.339550858072471e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.7355895326763857e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,560,2.402522625288839e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.1736392947532295e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.4033219031261979e-13,0e0,3.375077994860476e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.3092638912203256e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,600,2.48245868306185e-13,0e0,4.440892098500626e-15,9.325873406851315e-15,5.1736392947532295e-14,0e0,7.549516567451064e-14,7.194245199571014e-14,0e0,1.5276668818842154e-13,0e0,4.334310688136611e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.2026824808563106e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,640,2.48245868306185e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.262457136723242e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.2079226507921703e-13,0e0,3.339550858072471e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.3447910280083306e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,680,2.402522625288839e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.306866057708248e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.4033219031261979e-13,0e0,3.375077994860476e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.877698079828406e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,720,2.4558133304708463e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,4.9960036108132044e-14,0e0,7.549516567451064e-14,6.750155989720952e-14,0e0,1.4033219031261979e-13,0e0,3.801403636316536e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.2026824808563106e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,760,2.48245868306185e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.262457136723242e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.4033219031261979e-13,0e0,3.375077994860476e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.877698079828406e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,800,2.4358293160275934e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.262457136723242e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.4033219031261979e-13,0e0,3.801403636316536e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.4868995751603507e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,840,2.48245868306185e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.262457136723242e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.2079226507921703e-13,0e0,3.801403636316536e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.2026824808563106e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,880,2.375877272697835e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.3734794391857577e-14,0e0,8.615330671091215e-14,6.750155989720952e-14,0e0,1.2079226507921703e-13,0e0,3.375077994860476e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.2026824808563106e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
7,0.0,0,920,2.375877272697835e-13,0e0,4.440892098500626e-15,8.881784197001252e-15,5.46229728115577e-14,0e0,7.549516567451064e-14,6.483702463810914e-14,0e0,1.2079226507921703e-13,0e0,3.801403636316536e-13,1.1457501614131615e-13,0e0,7.105427357601002e-14,2.4868995751603507e-13,0e0,34,0,0,34,68,34,68,68,0,68,0,71,0,0,34,65,0
