seed,omega,adaptive,step,k_before,k_after,train_pre,heldout_pre,born,requests,denied,best_gain,coefficient_l1_previous_window,rhs,basis,coefficient_updates_before
7,0.0,1,560,9,9,0.0000002,0.0000005,-1,0,0,2.1590728e-15,5.014680752922582e-7,573440,23511040,5031
7,0.0,1,600,9,9,0.0000002,0.0000005,-1,0,0,2.5895872e-15,7.89761206928391e-7,614400,25190400,5391
7,0.0,1,640,9,9,0.0000002,0.0000005,-1,0,0,2.0875853e-15,6.587095464894409e-7,655360,26869760,5751
7,0.0,1,680,9,9,0.0000002,0.0000005,-1,0,0,2.1343869e-15,6.907426370930106e-7,696320,28549120,6111
7,0.0,1,720,9,9,0.0000002,0.0000005,-1,0,0,2.2016392e-15,6.661552374369155e-7,737280,30228480,6471
7,0.0,1,760,9,9,0.0000002,0.0000005,-1,0,0,2.1635066e-15,6.719231935859707e-7,778240,31907840,6831
7,0.0,1,800,9,9,0.0000002,0.0000005,-1,0,0,2.1607535e-15,7.989344184763936e-7,819200,33587200,7191
7,0.0,1,840,9,9,0.0000002,0.0000005,-1,0,0,2.0973262e-15,8.90047043336159e-7,860160,35266560,7551
7,0.0,1,880,9,9,0.0000002,0.0000005,-1,0,0,2.038698e-15,1.0227399135842238e-6,901120,36945920,7911
7,0.0,1,920,9,9,0.0000002,0.0000005,-1,0,0,2.0301165e-15,1.241917387134056e-6,942080,38625280,8271
7,0.0,1,960,9,9,0.0000002,0.0000005,-1,0,0,2.039323e-15,8.58609344808563e-7,983040,40304640,8631
7,0.0,1,1000,9,9,0.0000002,0.0000005,-1,0,0,2.1715208e-15,1.0037194376512348e-6,1024000,41984000,8991
7,0.0,1,1040,9,9,0.0000002,0.0000005,-1,0,0,2.1424811e-15,1.099648964375359e-6,1064960,43663360,9351
7,0.0,1,1080,9,9,0.0000002,0.0000005,-1,0,0,2.5792378e-15,1.160309653480858e-6,1105920,45342720,9711
7,0.0,1,1120,9,9,0.0000002,0.0000005,-1,0,0,2.0587267e-15,1.0773952738331316e-6,1146880,47022080,10071
7,0.0,1,1160,9,9,0.0000002,0.0000005,-1,0,0,2.1142114e-15,1.1666211570324214e-6,1187840,48701440,10431
7,0.0,1,1200,9,9,0.0000002,0.0000005,-1,0,0,1.900662e-15,1.3718435275706124e-6,1228800,50380800,10791
7,0.3,0,40,9,9,0.0300704,0.0537490,-1,0,0,7.140699e-5,3.629043392506901e-1,40960,1679360,351
7,0.3,0,80,9,9,0.0299228,0.0508669,-1,0,0,7.305139e-5,5.183339304835499e-2,81920,3358720,711
7,0.3,0,120,9,9,0.0299215,0.0508451,-1,0,0,7.314703e-5,7.61571788746096e-3,122880,5038080,1071
7,0.3,0,160,9,9,0.0299214,0.0508826,-1,0,0,7.335012e-5,1.6769170493313723e-3,163840,6717440,1431
7,0.3,0,200,9,9,0.0299214,0.0508980,-1,0,0,7.3457224e-5,8.983969402720504e-4,204800,8396800,1791
7,0.3,0,240,9,9,0.0299214,0.0509042,-1,0,0,7.3503244e-5,5.060305759343464e-4,245760,10076160,2151
7,0.3,0,280,9,9,0.0299213,0.0509074,-1,0,0,7.352825e-5,2.524919711390794e-4,286720,11755520,2511
7,0.3,0,320,9,9,0.0299213,0.0509088,-1,0,0,7.353881e-5,1.1264578503755729e-4,327680,13434880,2871
7,0.3,0,360,9,9,0.0299213,0.0509094,-1,0,0,7.354344e-5,4.472219727702509e-5,368640,15114240,3231
7,0.3,0,400,9,9,0.0299213,0.0509096,-1,0,0,7.35449e-5,1.5890838198195922e-5,409600,16793600,3591
7,0.3,0,440,9,9,0.0299213,0.0509097,-1,0,0,7.354529e-5,4.789485960020323e-6,450560,18472960,3951
7,0.3,0,480,9,9,0.0299213,0.0509097,-1,0,0,7.354548e-5,1.3612306345653358e-6,491520,20152320,4311
7,0.3,0,520,9,9,0.0299213,0.0509097,-1,0,0,7.354548e-5,5.013030774318316e-7,532480,21831680,4671
7,0.3,0,560,9,9,0.0299213,0.0509097,-1,0,0,7.3545496e-5,5.896868893748644e-7,573440,23511040,5031
7,0.3,0,600,9,9,0.0299213,0.0509097,-1,0,0,7.3545474e-5,5.963035064971214e-7,614400,25190400,5391
7,0.3,0,640,9,9,0.0299213,0.0509097,-1,0,0,7.3545474e-5,7.65782729543734e-7,655360,26869760,5751
7,0.3,0,680,9,9,0.0299213,0.0509097,-1,0,0,7.3545474e-5,7.44704082301581e-7,696320,28549120,6111
7,0.3,0,720,9,9,0.0299213,0.0509097,-1,0,0,7.354536e-5,8.799526144609091e-7,737280,30228480,6471
7,0.3,0,760,9,9,0.0299213,0.0509097,-1,0,0,7.354537e-5,8.224408920733789e-7,778240,31907840,6831
7,0.3,0,800,9,9,0.0299213,0.0509097,-1,0,0,7.354549e-5,8.879313985648077e-7,819200,33587200,7191
7,0.3,0,840,9,9,0.0299213,0.0509097,-1,0,0,7.3545474e-5,7.894756389368283e-7,860160,35266560,7551
7,0.3,0,880,9,9,0.0299213,0.0509097,-1,0,0,7.354548e-5,9.93424513557467e-7,901120,36945920,7911
7,0.3,0,920,9,9,0.0299213,0.0509097,-1,0,0,7.354548e-5,1.0296281058690127e-6,942080,38625280,8271
7,0.3,0,960,9,9,0.0299213,0.0509097,-1,0,0,7.3545474e-5,1.1552398542294395e-6,983040,40304640,8631
7,0.3,0,1000,9,9,0.0299214,0.0509097,-1,0,0,7.354547e-5,1.164428496066433e-6,1024000,41984000,8991
7,0.3,0,1040,9,9,0.0299213,0.0509097,-1,0,0,7.3545474e-5,1.2354771392456866e-6,1064960,43663360,9351
7,0.3,0,1080,9,9,0.0299213,0.0509097,-1,0,0,7.354549e-5,1.376230171752299e-6,1105920,45342720,9711
7,0.3,0,1120,9,9,0.0299213,0.0509097,-1,0,0,7.354549e-5,1.6592314813976272e-6,1146880,47022080,10071
7,0.3,0,1160,9,9,0.0299214,0.0509097,-1,0,0,7.354548e-5,1.5740544777945176e-6,1187840,48701440,10431
7,0.3,0,1200,9,9,0.0299213,0.0509097,-1,0,0,7.35455e-5,1.0078547448095707e-6,1228800,50380800,10791
7,0.3,1,40,9,9,0.0300704,0.0537490,-1,0,0,7.140699e-5,3.629043392506901e-1,40960,1679360,351
7,0.3,1,80,9,9,0.0299228,0.0508669,-1,0,0,7.305139e-5,5.183339304835499e-2,81920,3358720,711
7,0.3,1,120,9,9,0.0299215,0.0508451,-1,0,0,7.314703e-5,7.61571788746096e-3,122880,5038080,1071
7,0.3,1,160,9,9,0.0299214,0.0508826,-1,0,0,7.335012e-5,1.6769170493313723e-3,163840,6717440,1431
7,0.3,1,200,9,9,0.0299214,0.0508980,-1,0,0,7.3457224e-5,8.983969402720504e-4,204800,8396800,1791
7,0.3,1,240,9,9,0.0299214,0.0509042,-1,0,0,7.3503244e-5,5.060305759343464e-4,245760,10076160,2151
7,0.3,1,280,9,9,0.0299213,0.0509074,-1,0,0,7.352825e-5,2.524919711390794e-4,286720,11755520,2511
7,0.3,1,320,9,9,0.0299213,0.0509088,-1,0,0,7.353881e-5,1.1264578503755729e-4,327680,13434880,2871
7,0.3,1,360,9,9,0.0299213,0.0509094,-1,0,0,7.354344e-5,4.472219727702509e-5,368640,15114240,3231
7,0.3,1,400,9,9,0.0299213,0.0509096,-1,0,0,7.35449e-5,1.5890838198195922e-5,409600,16793600,3591
7,0.3,1,440,9,10,0.0299213,0.0509097,27,1,0,7.354529e-5,4.789485960020323e-6,450560,18472960,3951
7,0.3,1,480,10,11,0.0256822,0.0635770,33,2,0,2.0630361e-5,2.0459669851875484e-1,491520,20152320,4351
7,0.3,1,520,11,12,0.0243767,0.0628145,30,3,0,2.3504183e-5,1.3507169774598005e-1,532480,21831680,4791
7,0.3,1,560,12,13,0.0217008,0.0686350,28,4,0,1.26615405e-5,2.3767413183588815e-1,573440,23511040,5271
7,0.3,1,600,13,14,0.0207273,0.0724704,29,5,0,8.474207e-6,1.5438480643072694e-1,614400,25190400,5791
7,0.3,1,640,14,15,0.0192395,0.0725591,31,6,0,2.570222e-6,1.7760120631690768e-1,655360,26869760,6351
7,0.3,1,680,15,16,0.0189492,0.0707912,36,7,0,2.5157985e-6,1.0014723904124878e-1,696320,28549120,6951
7,0.3,1,720,16,17,0.0185533,0.0702595,14,8,0,2.2024583e-6,1.257158080594536e-1,737280,30228480,7591
7,0.3,1,760,17,18,0.0158460,0.0770534,35,9,0,3.8000944e-6,2.8696333694432496e-1,778240,31907840,8271
