seed,rich,fresh,omega,adaptive,window,k_before,k_after,incoming_rms,train_after,eval_before,eval_after,requests,denied,repeated_cross_window
7,1,1,0.3,1,2,25,25,1.1694527872248703e-1,1.4567121418736883e-2,1.3245124578822498e-1,1.1174703604789953e-1,30,30,7
19,0,0,0.0,0,0,9,9,2.7774766744378884e-2,2.9083520538034786e-7,3.797483693295486e-2,5.585389252556755e-7,0,0,0
19,0,0,0.0,0,1,9,9,2.9083520538034786e-7,8.506606080629087e-4,5.585389252556755e-7,1.0994069310000243e-3,0,0,0
19,0,0,0.0,0,2,9,9,8.506606080629087e-4,4.4044197392680875e-5,1.0994069310000243e-3,5.8129190838524107e-5,0,0,0
19,0,0,0.0,1,0,9,9,2.7774766744378884e-2,2.9083520538034786e-7,3.797483693295486e-2,5.585389252556755e-7,0,0,0
19,0,0,0.0,1,1,9,15,2.9083520538034786e-7,2.4323036287584046e-7,5.585389252556755e-7,5.39807290244102e-7,6,0,0
19,0,0,0.0,1,2,15,25,2.4323036287584046e-7,3.3912696894336263e-6,5.39807290244102e-7,3.5371232908985844e-5,10,0,0
19,0,0,0.3,0,0,9,9,4.037959834280312e-2,2.4099561375049983e-2,5.790735577115379e-2,5.7003864675187234e-2,0,0,0
19,0,0,0.3,0,1,9,9,2.4099561375049983e-2,2.4099566261971645e-2,5.7003864675187234e-2,5.700358858668855e-2,0,0,0
19,0,0,0.3,0,2,9,9,2.4099566261971645e-2,2.4099524463525417e-2,5.700358858668855e-2,5.7003604076334514e-2,0,0,0
19,0,0,0.3,1,0,9,25,4.037959834280312e-2,6.743757314617695e-3,5.790735577115379e-2,9.009822144108476e-2,20,4,0
19,0,0,0.3,1,1,25,25,6.743757314617695e-3,6.654637972901794e-3,9.009822144108476e-2,8.852958878118429e-2,30,30,18
19,0,0,0.3,1,2,25,25,6.654637972901794e-3,6.425623812487748e-3,8.852958878118429e-2,8.789285946729208e-2,30,30,30
19,0,1,0.0,0,0,9,9,2.7774766744378884e-2,2.9083520538034786e-7,3.797483693295486e-2,5.585389252556755e-7,0,0,0
19,0,1,0.0,0,1,9,9,3.845539063383323e-7,2.9220509450153135e-4,5.585389252556755e-7,3.6494346188221884e-4,0,0,0
19,0,1,0.0,0,2,9,9,2.6891883186518057e-4,6.859238368002369e-4,3.6494346188221884e-4,8.964145850042028e-4,0,0,0
19,0,1,0.0,1,0,9,9,2.7774766744378884e-2,2.9083520538034786e-7,3.797483693295486e-2,5.585389252556755e-7,0,0,0
19,0,1,0.0,1,1,9,14,3.845539063383323e-7,2.548354528841459e-7,5.585389252556755e-7,5.789291700195932e-7,5,0,0
19,0,1,0.0,1,2,14,22,3.746093836419742e-7,1.5039049883888678e-3,5.789291700195932e-7,3.205437425971239e-3,8,0,0
19,0,1,0.3,0,0,9,9,4.037959834280312e-2,2.4099561375049983e-2,5.790735577115379e-2,5.7003864675187234e-2,0,0,0
19,0,1,0.3,0,1,9,9,3.8711930595576725e-2,3.207502227090374e-2,5.7003864675187234e-2,4.455295849622042e-2,0,0,0
