seed,rich,fresh,omega,window,step,candidate,accepted,prior_candidate_requests,prior_site_requests,repeated_earlier_window,k_before,x,y,sigma,coverage,local_residual_mse,g,h,score
7,0,0,0.3,1,1480,35,0,4,5,1,25,6e-1,6e-1,9e-2,1e0,3.6685135192307854e-5,-2.8611693e-4,3.3705904e0,1.2143703e-8
7,0,0,0.3,1,1520,18,0,3,4,1,25,4e-1,6e-1,1.4e-1,1e0,1.5367024331188018e-5,6.727955e-4,1.5103326e0,1.4985235e-7
7,0,0,0.3,1,1560,36,0,1,1,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.131649371851021e-5,-6.541664e-4,8.8776124e-1,2.4101843e-7
7,0,0,0.3,1,1600,35,0,5,6,1,25,6e-1,6e-1,9e-2,1e0,3.981805131468899e-5,-1.0416169e-3,3.2711484e0,1.6583867e-7
7,0,0,0.3,1,1640,18,0,4,5,1,25,4e-1,6e-1,1.4e-1,1e0,1.494915533987724e-5,3.6839704e-4,1.5115505e0,4.48931e-8
7,0,0,0.3,1,1680,36,0,2,2,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.047523795354316e-5,-4.612933e-4,8.849019e-1,1.2023452e-7
7,0,0,0.3,1,1720,36,0,3,3,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.381936899905799e-5,-9.530345e-4,9.130863e-1,4.973652e-7
7,0,0,0.3,1,1760,36,0,4,4,0,25,8e-1,6e-1,9e-2,8.788577e-1,2.974075042864079e-5,-1.8788951e-4,8.7296075e-1,2.0219964e-8
7,0,0,0.3,1,1800,36,0,5,5,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.047686780238466e-5,-4.612491e-4,8.933914e-1,1.1906916e-7
7,0,0,0.3,1,1840,35,0,6,7,1,25,6e-1,6e-1,9e-2,1e0,5.0875610187225444e-5,-2.1805542e-3,3.0654206e0,7.7555694e-7
7,0,0,0.3,1,1880,36,0,6,6,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.0367479108651013e-5,-4.0772642e-4,8.937151e-1,9.300549e-8
7,0,0,0.3,1,1920,35,0,7,8,1,25,6e-1,6e-1,9e-2,1e0,4.194234902924421e-5,-1.3324937e-3,3.3361819e0,2.6610354e-7
7,0,0,0.3,1,1960,14,0,0,1,0,25,4e-1,4e-1,1.4e-1,1e0,1.1841267638689503e-5,-1.8283463e-4,9.2462826e-1,1.8076726e-8
7,0,0,0.3,1,2040,35,0,8,9,1,25,6e-1,6e-1,9e-2,1e0,4.3859885716256565e-5,-1.5716816e-3,3.2729108e0,3.773679e-7
7,0,0,0.3,1,2080,29,0,0,0,0,25,2e-1,4e-1,9e-2,8.788578e-1,1.4450819629398139e-5,-1.1135152e-4,9.012802e-1,6.878638e-9
7,0,0,0.3,1,2120,36,0,7,7,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.191463118826566e-5,-7.105025e-4,9.165834e-1,2.7537797e-7
7,0,0,0.3,1,2160,35,0,9,10,1,25,6e-1,6e-1,9e-2,1e0,3.928131902186538e-5,-8.6089125e-4,3.5718772e0,1.0374569e-7
7,0,0,0.3,1,2200,36,0,8,8,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.066277842370457e-5,-4.5018722e-4,9.101739e-1,1.1133506e-7
7,0,0,0.3,1,2240,36,0,9,9,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.343810827651304e-5,-8.6598e-4,9.377795e-1,3.9983885e-7
7,0,0,0.3,1,2280,35,0,10,11,1,25,6e-1,6e-1,9e-2,1e0,3.9683438075299377e-5,-9.284376e-4,3.5655882e0,1.2087717e-7
7,0,0,0.3,1,2320,35,0,11,12,1,25,6e-1,6e-1,9e-2,1e0,3.962055173312572e-5,-9.203647e-4,3.6027865e0,1.1755778e-7
7,0,0,0.3,1,2400,20,0,0,10,0,25,8e-1,6e-1,1.4e-1,8.788577e-1,3.386530063652283e-5,9.668884e-4,1.363044e0,3.4293578e-7
7,0,0,0.3,2,2440,35,0,12,13,1,25,6e-1,6e-1,9e-2,1e0,3.777700749273618e-5,-3.9354042e-4,3.776029e0,2.050753e-8
7,0,0,0.3,2,2480,29,0,1,1,1,25,2e-1,4e-1,9e-2,8.788578e-1,1.346884176082931e-5,-1.00512196e-4,9.0104413e-1,5.606108e-9
7,0,0,0.3,2,2520,36,0,10,11,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.0906534555737144e-5,-4.538643e-4,9.232445e-1,1.11559196e-7
7,0,0,0.3,2,2560,35,0,13,14,1,25,6e-1,6e-1,9e-2,1e0,4.486830157646531e-5,-1.6498945e-3,3.4765158e0,3.9150578e-7
7,0,0,0.3,2,2600,36,0,11,12,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.5148467860985315e-5,-1.0291613e-3,9.6489215e-1,5.488556e-7
7,0,0,0.3,2,2640,36,0,12,13,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.049868208671229e-5,-3.2066178e-4,9.097242e-1,5.6513823e-8
7,0,0,0.3,2,2680,35,0,14,15,1,25,6e-1,6e-1,9e-2,1e0,4.383698016917087e-5,-1.5455697e-3,3.5640361e0,3.3512367e-7
7,0,0,0.3,2,2720,36,0,13,14,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.2205796359253986e-5,-6.911059e-4,9.414185e-1,2.536743e-7
7,0,0,0.3,2,2760,36,0,14,15,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.017728614527546e-5,-1.3661e-4,9.0616906e-1,1.0297358e-8
7,0,0,0.3,2,2800,35,0,15,16,1,25,6e-1,6e-1,9e-2,1e0,3.9662609195634063e-5,-8.827062e-4,3.7537148e0,1.03786554e-7
7,0,0,0.3,2,2840,36,0,15,16,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.172835084422312e-5,-6.005416e-4,9.384279e-1,1.9215658e-7
7,0,0,0.3,2,2880,18,0,5,6,1,25,4e-1,6e-1,1.4e-1,1e0,1.3672653736152038e-5,2.0062916e-4,1.5744677e0,1.2782753e-8
7,0,0,0.3,2,2920,36,0,16,17,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.113995647929128e-5,-4.845822e-4,9.275272e-1,1.2658384e-7
7,0,0,0.3,2,2960,36,0,17,18,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.5083475703248395e-5,-1.0174611e-3,9.699714e-1,5.336379e-7
7,0,0,0.3,2,3000,36,0,18,19,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.037045315006921e-5,-1.4829049e-4,9.153839e-1,1.2011393e-8
7,0,0,0.3,2,3040,36,0,19,20,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.250632734139673e-5,-7.050208e-4,9.4634145e-1,2.626189e-7
7,0,0,0.3,2,3080,35,0,16,17,1,25,6e-1,6e-1,9e-2,1e0,3.909233361236235e-5,-7.232232e-4,3.8386056e0,6.813045e-8
7,0,0,0.3,2,3120,36,0,20,21,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.522440188137359e-5,-1.0250232e-3,9.800403e-1,5.360354e-7
7,0,0,0.3,2,3160,29,0,2,2,1,25,2e-1,4e-1,9e-2,8.788578e-1,1.2574776326072038e-5,-1.1092573e-4,8.9826983e-1,6.84901e-9
7,0,0,0.3,2,3200,35,0,17,18,1,25,6e-1,6e-1,9e-2,1e0,3.8352736089282966e-5,-4.2184227e-4,3.9763205e0,2.2376327e-8
7,0,0,0.3,2,3240,36,0,21,22,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.1593300308957607e-5,-5.4087525e-4,9.4554913e-1,1.5469637e-7
7,0,0,0.3,2,3280,16,0,0,1,0,25,8e-1,4e-1,1.4e-1,1e0,1.0582946785666095e-5,8.029688e-5,5.8281755e-1,5.5313953e-9
7,0,0,0.3,2,3320,36,0,22,23,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.225786957207608e-5,-6.533497e-4,9.53075e-1,2.2394134e-7
7,0,0,0.3,2,3360,36,0,23,24,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.3932775259394854e-5,-8.7739783e-4,9.712475e-1,3.9630834e-7
7,0,0,0.3,2,3400,36,0,24,25,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.194953053208217e-5,-5.9922296e-4,9.497896e-1,1.890251e-7
7,0,0,0.3,2,3440,36,0,25,26,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.0663921320592084e-5,-2.9978275e-4,9.308232e-1,4.8274313e-8
7,0,0,0.3,2,3480,35,0,18,19,1,25,6e-1,6e-1,9e-2,1e0,4.36284106428414e-5,-1.4888727e-3,3.6654398e0,3.0238417e-7
7,0,0,0.3,2,3520,36,0,26,27,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.106243929905051e-5,-4.2002028e-4,9.403202e-1,9.38069e-8
7,0,0,0.3,2,3560,35,0,19,20,1,25,6e-1,6e-1,9e-2,1e0,3.9753057737874246e-5,-8.261556e-4,3.9053462e0,8.738446e-8
7,0,0,0.3,2,3600,36,0,27,28,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.235160932357031e-5,-6.6985533e-4,9.570952e-1,2.3441042e-7
7,0,1,0.0,0,1160,10,1,0,0,0,9,4e-1,2e-1,1.4e-1,8.788578e-1,4.674288226046908e-8,-8.670318e-5,3.8568828e-1,9.745488e-9
7,0,1,0.0,0,1200,9,1,0,0,0,10,2e-1,2e-1,1.4e-1,9.4965845e-1,2.3395623282866896e-7,1.17889416e-4,1.9424796e-1,3.5773645e-8
7,0,1,0.0,2,2440,16,1,0,0,0,11,8e-1,4e-1,1.4e-1,8.7885773e-1,2.2281249235652552e-7,1.1939313e-4,2.4792485e-1,2.8748067e-8
7,0,1,0.0,2,2480,14,1,0,0,0,12,4e-1,4e-1,1.4e-1,8.1333554e-1,4.807241938624037e-8,-1.1120766e-4,7.379681e-1,8.379185e-9
7,0,1,0.0,2,2520,20,1,0,0,0,13,8e-1,6e-1,1.4e-1,8.788577e-1,1.9915138123232342e-7,-1.2349455e-4,3.032404e-1,2.5146559e-8
7,0,1,0.0,2,3280,30,1,0,1,0,14,4e-1,4e-1,9e-2,1e0,1.7588317884843134e-7,-1.396135e-4,6.063383e-1,1.6073479e-8
7,0,1,0.0,2,3320,19,1,0,0,0,15,6e-1,6e-1,1.4e-1,8.133354e-1,3.381850708843948e-7,2.2560738e-4,6.2621284e-1,4.0640085e-8
7,0,1,0.0,2,3360,22,1,0,0,0,16,4e-1,8e-1,1.4e-1,8.7885773e-1,9.32019718716891e-8,-9.293365e-5,4.6340963e-1,9.318606e-9
7,0,1,0.0,2,3400,26,1,0,1,0,17,4e-1,2e-1,9e-2,1e0,1.2721491872665282e-7,-6.402104e-5,2.2347057e-1,9.170545e-9
7,0,1,0.3,0,440,40,1,0,0,0,9,8e-1,8e-1,9e-2,9.496584e-1,1.7097703749301258e-3,5.143053e-3,3.0190545e-1,4.3806747e-5
7,0,1,0.3,0,480,30,1,0,0,0,10,4e-1,4e-1,9e-2,8.1333554e-1,2.4062316851211616e-4,-6.4284e-3,1.1650392e0,1.7735167e-5
7,0,1,0.3,0,520,39,1,0,0,0,11,6e-1,8e-1,9e-2,8.788577e-1,5.695962119859655e-4,-3.1133546e-3,4.0604472e-1,1.1935848e-5
7,0,1,0.3,0,560,32,1,0,0,0,12,8e-1,4e-1,9e-2,8.7885773e-1,1.417433357339161e-4,2.523294e-3,6.5733486e-1,4.8430506e-6
7,0,1,0.3,0,600,31,1,0,0,0,13,6e-1,4e-1,9e-2,8.133355e-1,9.437903740724413e-5,2.294517e-3,1.2086179e0,2.1780281e-6
7,0,1,0.3,0,640,38,1,0,0,0,14,4e-1,8e-1,9e-2,8.7885773e-1,4.936131133610961e-4,-1.0932316e-3,2.4931014e-1,2.396925e-6
7,0,1,0.3,0,680,25,1,0,0,0,15,2e-1,2e-1,9e-2,9.4965845e-1,1.7577952882421428e-4,-4.3099062e-4,6.68608e-2,1.3891017e-6
7,0,1,0.3,0,720,34,1,0,0,0,16,4e-1,6e-1,9e-2,8.133355e-1,1.871202187170277e-4,-1.097136e-3,1.1817031e0,5.093104e-7
7,0,1,0.3,0,760,33,1,0,0,0,17,2e-1,6e-1,9e-2,8.7885773e-1,5.5592233750286683e-5,-1.0246077e-3,7.1899444e-1,7.3006186e-7
7,0,1,0.3,0,800,26,1,0,0,0,18,4e-1,2e-1,9e-2,8.788578e-1,9.98792337339307e-5,2.936636e-4,5.00946e-2,8.607545e-7
7,0,1,0.3,0,840,28,1,0,0,0,19,8e-1,2e-1,9e-2,9.4965845e-1,4.090198216757232e-5,-4.266799e-4,2.5237218e-1,3.6068903e-7
7,0,1,0.3,0,880,19,1,0,0,0,20,6e-1,6e-1,1.4e-1,8.133354e-1,4.4910752853145116e-5,-3.804968e-4,7.840697e-1,9.232457e-8
7,0,1,0.3,0,920,22,1,0,1,0,21,4e-1,8e-1,1.4e-1,1e0,3.065931799001168e-5,2.4526083e-4,2.9331538e-1,1.0253959e-7
7,0,1,0.3,0,960,15,1,0,1,0,22,6e-1,4e-1,1.4e-1,1e0,3.8922257894709776e-5,3.312333e-4,9.916676e-1,5.531869e-8
7,0,1,0.3,0,1000,27,1,0,0,0,23,6e-1,2e-1,9e-2,8.7885773e-1,1.3729432950848993e-5,-4.4725498e-4,7.1911865e-1,1.3908485e-7
7,0,1,0.3,0,1040,21,1,0,0,0,24,2e-1,8e-1,1.4e-1,9.4965845e-1,1.3504665943393821e-5,-6.589582e-5,1.5379599e-1,1.4116947e-8
7,0,1,0.3,0,1080,11,0,0,1,0,25,6e-1,2e-1,1.4e-1,1e0,7.979370115051543e-6,9.9428595e-5,3.6944333e-1,1.3379651e-8
7,0,1,0.3,0,1120,35,0,0,1,0,25,6e-1,6e-1,9e-2,1e0,3.7192116995912686e-5,-7.502055e-4,2.8467536e0,9.88509e-8
7,0,1,0.3,0,1160,18,0,0,1,0,25,4e-1,6e-1,1.4e-1,1e0,1.6796933874314766e-5,8.75955e-4,1.4537183e0,2.6390848e-7
7,0,1,0.3,0,1200,18,0,1,2,0,25,4e-1,6e-1,1.4e-1,1e0,1.6426602210995563e-5,6.5003044e-4,1.450099e0,1.4569336e-7
7,0,1,0.3,1,1240,35,0,1,2,1,25,6e-1,6e-1,9e-2,1e0,1.2071934117691176e-4,-2.8316602e-3,1.1162194e0,3.5917221e-6
7,0,1,0.3,1,1280,11,0,1,2,1,25,6e-1,2e-1,1.4e-1,1e0,1.0021628739681344e-4,2.4443804e-4,2.206924e-1,1.353693e-7
7,0,1,0.3,1,1320,9,0,0,1,0,25,2e-1,2e-1,1.4e-1,1e0,3.286844400390999e-5,-6.6894354e-5,1.5886992e-2,1.4083392e-7
7,0,1,0.3,1,1360,9,0,1,2,0,25,2e-1,2e-1,1.4e-1,1e0,3.0106031613907936e-5,-6.033478e-5,1.576988e-2,1.15418935e-7
7,0,1,0.3,1,1400,9,0,2,3,0,25,2e-1,2e-1,1.4e-1,1e0,2.824228175073647e-5,-5.415327e-5,1.5690304e-2,9.345188e-8
7,0,1,0.3,1,1440,9,0,3,4,0,25,2e-1,2e-1,1.4e-1,1e0,2.6984259654984696e-5,-4.8710543e-5,1.5632976e-2,7.58882e-8
7,0,1,0.3,1,1480,9,0,4,5,0,25,2e-1,2e-1,1.4e-1,1e0,2.6121079483805635e-5,-4.4009594e-5,1.5595766e-2,6.20952e-8
7,0,1,0.3,1,1520,9,0,5,6,0,25,2e-1,2e-1,1.4e-1,1e0,2.552559316377534e-5,-3.98828e-5,1.5573224e-2,5.1069637e-8
