seed,keep_updating,checkpoint_train,max_train,max_score,requests,final_eval
7,0,2.1985525905608387e-7,2.1985525905608387e-7,4.557845e-15,0,4.878352634059025e-7
7,1,2.1985525905608387e-7,6.437419652633126e-4,6.6329555e-8,7,1.982564815796869e-4
19,0,2.3534283745418617e-7,2.3534283745418617e-7,5.653047e-15,0,5.493224450595165e-7
19,1,2.3534283745418617e-7,7.365835575981497e-4,1.5620572e-7,8,5.8129190838524107e-5
41,0,1.9233107757647862e-7,1.9233107757647862e-7,2.7861082e-15,0,3.556628120400399e-7
41,1,1.9233107757647862e-7,1.0296876583386798e-3,3.4936804e-7,10,2.0216385000338335e-4
